rank,feature,mean_abs_shap
1,X_16,0.03818847
2,X_5,0.01825138
3,X_35,0.01752320
4,X_8,0.01739276
5,X_41,0.01629467
6,X_22,0.01600976
7,X_3,0.01525688
8,X_4,0.01338924
9,X_29,0.00809035
10,X_33,0.00803024
11,X_38,0.00739442
12,X_37,0.00728115
13,X_10,0.00721029
14,X_6,0.00680990
15,X_48,0.00636266
16,X_21,0.00510053
17,X_47,0.00493515
18,X_40,0.00466776
19,X_28,0.00390593
20,X_19,0.00327652
21,X_15,0.00306836
22,X_11,0.00283720
23,X_36,0.00252019
24,X_50,0.00187634
25,X_39,0.00186508
26,X_31,0.00186343
27,X_14,0.00170624
28,X_27,0.00149985
29,X_12,0.00129949
30,X_25,0.00128849
31,X_17,0.00110230
32,X_23,0.00098911
33,X_43,0.00091090
34,X_2,0.00082942
35,X_32,0.00046723
36,X_49,0.00032124
37,X_1,0.00030477
38,X_13,0.00018693
39,X_42,0.00017389
40,X_7,0.00014844
41,X_18,0.00002587
42,X_34,0.00000731
43,X_26,0.00000541
44,X_9,0.00000378
45,X_46,0.00000346
46,X_45,0.00000238
47,X_44,0.00000093
48,X_24,0.00000057
49,X_30,0.00000000
50,X_20,0.00000000
